content,score
bikin mood akuu bgss,5
mantap,4
Like,5
"update bgt lagu_lagunya, aku suka",5
bagus lah the best,5
ok banget....,5
mantap enak sambil maen game,5
enak di dengar dan menenangkan,5
bagusss 👍👍👍,5
"banyakin aja iklanya yang panjang durasinya mana gak ada untuk skip iklan, lama2 gua hapus ini aplikasi.",1
bagus,4
asik. cuma tampilan sama ada beberapa lagu yg ga muncul,5
mendengarkan lagu Spotify,5
bagus tapi kebanyakan iklan,4
mantap,5
good,5
👍👍👍,5
"aplikasi lagu yang bagus, enak juga",5
lagu nya enak banget sad apalagi,5
jarang pakai,5
terlalu perbayar ☹️,4
mantap,5
ok nanget,5
mantapp,5
"handling 7hape, semua install spotify, karna kereen dan masuuk akall😀😀",5
luar biasantaf mntaf,5
sangat menghibur😍😍😍,5
bagus,5
jujjr sebenernya bagus yaaa cuma kenapa di batasin cobaa kalo mau ngedengerin lagu,5
Terima Kasih,5
"Aplikasi sering error dan tidak bisa digunakan, untuk menyetel lagu ada iklan cuma iklannya ga lewat2, kecewa berat",1
Good app! :),5
mantap musiknya...aku suka,4
"mines,kadang ga bisa terus""n mengulang lagu yg sdh di putar.keseluruhan si oke",3
bagus,5
ok,5
mantap... 👍👍👍,5
Bagus,5
"udah bagus,musiknya lengkap, sedikit saran tambahkan fitur buat rapihin playlist musik aja",5
"kereen, semua playlist lagu ada 😍😍",5
very2 gods,5
ok,5
sukak! buat dengerin lagu pakek banget deh pokoknya 👍👍👍👍👍,5
Bagus banget aplikasinya bisa bikin mood jadi happy lagi!,5
"aplikasi banyak iklan, ganggu aja iklannya, kalau bikin aplikasi tuh jangan ada iklan, gak enak denger musik kalau ada iklan nya. nyesal saya download aplikasi ini. buang buang kouta aja,",1
keren bangettt,5
mudah di pergunakan,5
mantap bro 👍👍👍,5
bagus buat bermain atau latihan sambil dengarin musik,5
suka nyanyi lagu Antara senyumanmu,5
I Like 👍🏻,5
kenapa ini setiap search lagu dan mau play malah muncul iklan trus ngestuck yak?,1
bagus banget,5
kalo pake yg gratis enaaak,5
"aplikasinya udh oke dan bagus karna semua lagu bisa di bilang ada di sini, tapi yang mau saya bicarakan adalah tentang iklan, nah iklan ini lumayan nyebelin kadang kalau mau denger lagu malah ada iklan udh gitu gk ilang atau gk bisa di putar. jadi kasih saya bintang 4 aja dulu.",4
bagus,5
seruuu,5
bagusss,5
bagus,5
ᑲᥲgᥙs sіһ ᥲ⍴k ᥒᥡᥲ 𝗍ᥲ⍴і mᥲsᥲᥣᥲһ ᥒᥡᥲ һᥲrᥙs ⍴rᥱmіᥙm 𝗍⍴і g⍴⍴ ᥲkᥙ kᥲsіһ ᑲіᥒ𝗍ᥲᥒg 3,3
ada lagu jumno,5
BAGUS COKKKKKK,5
wow sngt menakjubkan,5
bagus buat lumayan dengar lagu lagu kesukaan,5
lagu lagu banyak..keren,5
bagus banet tp tolong jangan bayar dong supaya semua masyarakat bisa merasakan,5
keren,5
💕,4
mantap pelepas lelah,5
chef's kiss,5
bagus,5
di senangi,4
ini update iklan kah bukan apknya?iklannya dah ditunggu 1 jam ga hilang hilang,1
bagus mah bagus tapi kalau di hp gu ga bisa sambil main ff,5
Bagus,5
bgus,4
ayolah Spotify masa kau mem premiumkan fitur penting di aplikasi ini yaitu fitur mengulang lagu.,2
"banyak lagunya suka suaranya jernih banyak kolaborasi sama aplikasi lain, keren.",5
wow bagus banget,5
musiknya sangat bagus,5
mantap,5
bagus bgt,5
bagus,5
oke,5
"Apaan coba, semua fiturnya harus berbayar. Masa skip lagu sama milih lagu juga bayar sih?",1
bagus,4
"semakim lama update semakin maksa premium,dulu bisa bebas mutar lagu tanpa limit skrg dilimit setiap harinya.",2
baguss cumann ga duka kalau iklan,3
oke BGT,4
bagus,5
likeee,4
Karena harus bayar,1
bagus,5
kenadigunain do game,4
muts muts ada yang nanyain kabar kita nih 💔💔💔💔,5
mantab ..,5
Aku suka banget Spotify bisa mendengarkan lagu kesukaan kalian kalo yang mau mendengarkan lagu kesukaan kalian download Spotify sekarang juga 👍,5
lagunya ada semua lagunya seru dan enak didengar lagunya,5
seru bisa dengerin lagu tanpa iklan dan banyak banget lagunya kalo bisa sih saran aku lagu yang ada di tik tok adain di spotify,5
good,5
bagus,5
GOOD,5
sangat keren,5
"Gua rekomen bgt sih pake apk ini buat dengerin lagu². *Walau terkadang lagi enak² nya denger lagu, iklan muncul*. edit: Kenapa ya, sekarang kalo lagi anteng di playlist yang udah diatur, terus tiba-tiba banget ada musik yang ga ada diplaylist ke stel? Jujur itu agak mengganggu",5
"Saya sudah berlangganan Premium. tetapi lirik tidak muncul untuk semua lagu bahkan lagu bahasa inggris atau Indonesia. kecewa berat, tolong diperbaiki.",1
teman saat menyusuri jalanan Cikarang,5
"bagus cuma apa2 di batasi karena berbayar next lagu dibatasi, muter lagu nya berbayar dan ditambah iklan pula 😅",1
bagus banget,5
lagu semua ada,5
Ini sangat bagus,5
tiba tiba gk bisa pilih lagu yg mau diputer malah disuruh premium ini upgrade ato ngebug sih? kalo upgrade agak kecewa sih masa gk bisa pilih,3
aku suka banget sama spotify bisa denger lagu lagu pokok nya spotify bagus banget👍👍👍👍👍,5
"lirik nya manaa, muak banget kalo ga bisa pilih lagu, susah bat kayanya",1
bagus doang🗿,5
kalau bisa tambahkan fitur top 5 album/lagu di profil,5
Aplikasi bagus,5
"sangat baik, semua lagu yg saya cari di Spotify",5
Ini gimana sih gabisa masuk coba harus challenge apaan coba..,1
makin lama makin kikir dikit dikit premium,1
bagus sekali,5
Bagus buat dengarkan lagu sad😂,5
baik,5
"Terima kasih aplikasi ini sangat membantu, kebetulan saya sangat suka mendegarkan musik",5
👌🏻👍🏻,5
tolong ini udah bagus cuman kadang² pemutaran engga sesuai sama yang ada di playlist,5
pliss buat fitur mode offline jadi gak perlu pakai internet,4
ok,5
Asyik bisa menikmati lagu2 penyanyi favorit,5
suka,4
aplikasi ini sangat Bagus bisa menenangkan pikiran,5
galau pun ga terhalang,5
Terbaik,5
banyak manfaatnya,5
like,5
banyak iklan,3
Sangat suka Spotify sangat membantu,5
nafsu sekali dan semua lagu ada,5
bagus🥳🥳🥳,5
bagusss enakkk,5
bagus sekali lagi lagu nya,4
𝐛𝐚𝐠𝐮𝐬 𝐛𝐚𝐧𝐠𝐞𝐭𝐭,5
baguss,5
"untuk yang tidak punya premium, kesel tiba-tiba ada suara""aYo pAkE PrEmIuM"" GANGGU BANGET SIH, UDAH TAU GAK PUNYA DUIT",1
mantapp mennn,4
baik,5
bagus banget,5
saya merekomendasikan untuk menyetel lagu menggunakan Spotify,5
saya sangat suka mendengarkan lagu dari Spotify loh temen²,5
gratisan dong jangan banyak iklan,5
music berkualitas,5
baguss,5
👍,5
THE NICE APP,5
"apk kikir, mao dengerin aja dibatas in 6x/hari",1
bagus bgt pls aku pake tiap hari wkwk,5
keren banget sih apk ini,5
"aplikasi nya bagus banget,apalagi bisa dengerin lagu sambil main game.tapi ada kekurangan nya,kalau mau dengerin 2/3 lagu pasti langsung ada iklannya....",5
bagus,5
seru bngt sih dengerin lagu di apotify,5
suka,5
bagus banget,5
mantap,5
harus buat akun susah😭😭😭😭,1
emang spotify yg the best,5
lagu² yah sangat enak² di dengar 👍,5
bagus,4
ok,5
sangat bagus,5
bagussss! seru bisa dengwring lagu nostalgia,5
saran. klo putar lagu jangan di campur. misalnya lagu bugis ya bugis semua. jangan ada lagu daerah lain. terimakasih,5
bagus sih bayak juga lagu yang baru baru tapi sayangnya harus berbayar kalau mau lagu nya di play ber urutan mks🙃,5
bagus banget,5
mudah d aplikasikan,5
bagus👍,4
saya menyukai aplikasi nya bagus bgt,5
premium nya mahal bangett😭😭,3
apl luarbisa. topp,5
💗,5
"""Spotify benar-benar mengubah cara saya menikmati musik. Koleksi lagunya lengkap dan selalu ada sesuatu yang baru untuk ditemukan.""",5
update biar bisa offline jadi enak hemat data dan kalobisamah ada aksara nyah seperti onlin,3
trimakasih bermanfaat untuk kita semua,5
good boyy,5
saya sangat suka sama Spotify karna dapat menghilangkan bosan saya,5
"kenapa tdk bisa batal berlangganan, apakah ini jebakan yg harus berlangganan trs? why?",1
sangat bagus,5
oke... mantab.,5
sangattt bagusss,5
fav♡,5
"BUG TIDAK BISA MEMUTAR MUSIK, KOCAK",1
mana ni langganan seminggu sekalinyaa🤨,1
mantap,5
sangat membantu....terus semangat ya 🤗🫶🏼,5
kalo lagi main block blast dengerin lagu jadi bagi aku bermanfaat aku suka sama aplikasinya seru yes,5
bagus musiknya biar bisa sad,5
i love this app!,5
👍,5
mantapp,5
"knp sekarang apk jadi gini dulu kalo kita dengerin lagu pasti nanti nyambung ke lagu berikutnya tp knp sekarang apk tiba"" mati sendiri",4
mantep,5
Mantap,5
Bagus banget spotify dan juga bisa dengar lagu kesuka kita cocok banget untuk mendengar nya 😎👍,5
ini sangat menyenangkan,5
ok,5
mantap,5
sangat s3nang drngan apl ini,5
apk nya bagusssss🤩🤩🥳🥳🥳,5
Kenapa tiba tiba log out jir,5
mantap,5
sangat baguss bangett,5
mantapp,5
VL muss man ja noch was,5
banayak misik,5
saya sangat senang dengan mendownload sportif karena saya bisa mendengar lagu yg saya suka terimakasih sportif,5
bagus,5
bagus banget,5
"ini gimana mau batalin paket spotify premium, udh klik ""pembatalan kapan saja"" tapi malah bolak balik doang, di klik lagi kaya gtu lagi, ini maksudnya biar gak bisa dibatalin/distop gtu spotify premiumnya 🤔",3
mantap,5
sangat menarik!,5
mantap..,5
"bagus banget, bermanfaat",5
enak banget,5
trimakasih karena saya bisa mendengarkan lagu sesuai kesukaan saya.,5
keren dah pokokx,5
ga ada alasan saya memberi bintang 1,1
okkkkkk,5
terbaik,5
enak karena ada lagu boncikadap,5
ok,5
"Buat Yg Nyari Alternatif App musik rasa premium, Download Admusic , Penganti Yg Gasuka kena iklan.. kualitas setara ..",5
bagus,5
ga bisa masuk pake akun mana juga eror masa harus pake wifi baru bisa anehh,1
aplikasi rusak,1
"pliss hapus limit buat ganti lagu, maksa bgt buat pake premium",3
apalah dikit dikit bayar kikir amat jadi aplikasi,1
👍,5
"aplikasi banyak bug,iklan GK mau keputar jadi g bisa dengerin lagu",5
oke,5
aplikasi ini dapat membuat kita Heppy dan dapat menghilangkan stres dan juga menghibur,5
sya bisa mendengar kn laguuu kesukaan sy yawwwww🐥🍄‍🟫,5
👍🏻🗿 ini aku suka apalagi aku suka galau sayangnya g bisa offline andai bisa di download gitu,4
asik,5
Good,5
gabisa buat akun padahal udah 2x instal,1
aplikasinya bagus musiknya jg jernih dan lumayan lengkap jadi approve sih menurut ku,5
"Kenapa sekarang gk bisa putar podcast ya min ?, ketahuilah aplikasi ini digunakan saja sudah menghasilkan buat anda ya. jngn terlalu banyak premium, kalau tidak mau ditinggalkan pendengarnya !",3
keren aplikasi ini,5
Aplikasi paling mantap dan Bravo,5
"bagus bisa dengerin musik / podcast walaupun hp aku mati tapi kebanyakan harus bayar , jadi rada² males",3
bagus sekali 🥳🥳👍👏💋,5
musik-musik nya bagus sekali,5
Gak kayak dulu bisa pencet di lirik,1
aplikasi yang sagat bagus😻,5
cocokk ih untukk nemenin aktivitas apa punn apaa lagii pass lagii galauuu,5
hapus apk ini saya tidak bisa mendengarkan lagu disini,1
terimakasih sudah memberikan pilihan musik yang banyak... Akan tetapi saran saya Suara musik dengan iklan di kondisikan... masa saya dengar musik dengan volume yg rendah namum Suara iklannya tinggi... apa gak kaget pendengar..,2
tidak berfungsi dengan baik,1
bagus,5
"milih lagu ,sekarang malah d batasi....dulu tidak pernah...seponsor banyak tidak masalah...tp kalo d batasi milih sendiri malah g nyaman",1
nice,5
mantab dah,5
Mantap,4
"suara jelek, jauh sama yt music👎",1
bagus lah,5
Baik.,4
gua kira kita bisa putar music yang free kapan saja. saat saya tinggal hp saya sebentar udah gak bisa putar music free lagi harus bayar premium,1
"enak bet dengrin lagu""nya",5
bagus banget 😘,5
baguss banget,5
bagus 😎,5
iye laguna alus jang maen epep bisa,5
aplikasi ini membuat saya lebih tenang dan masih banyak lagi hal yang membuat saya lebih suka dengan Spotify,5
oke,5
mantap,5
👍👍👍👍,5
"ada 1 bug yang mengganggu, ketika saya menyetel musik memang berjalan normal, tapi ketika saya mencari dan klik musik yang ingin saya setel, layar iklan muncul tapi hanya sebagai blank, tidak ada isi iklannya, dan ngestuck disitu selamanya.",2
bagus,5
Mantappppp,5
yes bisa dengerin musik sambil chatt,5
aplikasinya bagus lengkap dan bisa nemenin orang jomblo😁,5
ini sangat bagus,5
"lagu lagunya pas, banyak playlist dan banyak pencipta lagu nya. Tapi kenapa ya gak ada fitur maju mundurin lagu nya. Mohon untuk fitur maju mundur lagu nya di bikin yaa.....😊😊",5
lagu nya sangat asik dan sangat bagus,5
aku suka lagu stecu stecu,5
mantap,5
sangat bagus,5
"sangat bagus aplikasi nya ,trima kasih",5
gak lengkap musik musik nya hanya yang di pentingin lain lagu per lagu developer per lagu per,3
keren banget,5
terlalu banyak iklan.,4
udh di update tapi di suruh update lagii .,4
bagus,5
bagus untuk setel lagu sambil main game,5
ak suka,5
Bagus,5
perfect,5
Baik.,5
sangat bagus bebas pilih pilih lagu,5
Pokoknya Terfavorit,5
gud,5
"ribet bgt skrg, balikin fitur puter tanpa batesan",1
masak dengerin musik ada Bates pilih lagu nya oot ooot,1
aku suka lagu ny 👍 untung aja aku download sportify awal dari aku belum game spotify aku pakai YouTube tapi karna kalo mau ku matikan pasti mati lagu ny makasih ny ❤️❤️🤭,5
suka bangetttt dengerin lagu di Spotify❤️,5
"puas deh,suaranya bagus bersih nggak seperti yg lain dan pilihan lagunya pun teratur,maju terus sportify",5
aplikasi nya bagus,5
nyaman banget sayang,4
bagus banget awww,5
Bagus,1
"love banget aplikasi ini, teman segala suasana",5
sangat menarik dan menghibur😎,4
really good,4
bagus,3
karena aku mendengar musik di sini sangat seru dan ada lagu yang aku suka,5
"aplikasinya keren, ingin mendengar musik mudah. Semua jenis musik ada. The best!",5
terbaik 👍👍👍,5
bagussss tapiii ga premium jadi yaa gtu dehh,3
keren abis sounds,5
lagunya kurang lengkap dan harus bayar tiap bulan payah,3
"satu2nya keunggulan adalah algoritma. paling suka di apk ini itu shufflenya enak, sering dengerin mix sama playlist rekomendasi spotify.",4
aplikasi kikir,2
Mantap...,5
musiknya di batasi sama iklannya banyak,1
SUKA BANGETTT ><!1!1,5
mantap,5
keluar sendiri anj padahal udah di update tetep aja kekuar sendiri,5
bagusss sekaliii🤩🤩,5
"Lagu nya lengkap di sini, Suka banget aku",5
apl top markotop,5
ya bagus sih tapi harus dibayar makanya saya kasih 4 bintang aja,4
"mantap, dalam menikmati waktu yang terlewat, seperti kenangan manis",5
mantap,5
muantab,5
"karena harus bayar,kalo gak gak bisa",1
sangat seru,5
apk ini sangat bagus kerja sambil denger musik sambil tidur apk ini sangat memuas kan 😁👍 semuga apk ini terus maju,5
"kenapa setiap saya mau melihat lirik dan saya menekan musik, saya malah keluar dari aplikasi? aneh banget.",3
aplikasi nya bagus,5
baguss bgttt,5
mantab,5
saya suka krna bisa ngegalau brng',5
menurut saya bagus untuk ngesad,5
ini bagus untuk bermain game seru banget jadinya sambil main game,5
sporty bener sportifitas bgt sama musiknya,5
mantap,5
"abis di update langsung gabisa buka lirik, setiap mau buka lirik langsung force stop, dan saya sudah premium padahal",1
good music,5
sangat bagus,5
enak lah bisa dengerin tpi pas mau liat liriknya keluar² mlu pls benerin klo ga aku ratting 2 bintang,3
bagus aplikasi nya,5
sangat cocok untuk di dengar,5
"aplikasi selalu crash saat memutar musik. sudah dicoba hapus cache, uninstall/install ulang dan restart hape masih sama.",1
semoga bermanfaat...,5
apalah dari tadi daftar ga bisa,1
Lah ini kok malah jd crash mulu setelah langganan preminum 1 mingguan. Tolong diperbaiki bugnya sangat mengganggu.,2
bagus,5
spotify Music Mantap,5
asikk si kalau lagi nyantai,5
teuing teu nyaaho,5
gratis dan musik nya sangat lengkap the best lagunya buat aku surat cinta untuk starla,5
lagu² yg sanagt enak fi dengar,5
aku suka dengerin lagu dari Spotify,5
bagus,5
itu asik banget,5
I like the songs on Spotify,5
"di download GK bisa, padahal saya ada internet",1
"mantap tidak membosankan, dgn aplikasinya semoga tidak ada kendala aplikasinya....",5
aplikasi nya sangat bangus,4
"baguss aplikasinya tapi kenapa ya kita udah simpen banyak lagu trus aman² aja tapi tiba² pas mau play musik lagu yg udh masuk fav musik pada hilangg, tolong diperbaiki",1
bagus,5
mantap,5
bagus,4
"Iklannya makin banyak engga bisa di skip lama 1 lagu aja durasi iklannya bisa 2 menit lebih,lagu yg saya masukkan ke playlist lumayan banyak saat saya mendengarkan lagunya saat selesai ke lagu berikutnya malah mendengarkan lagu yg tidak masuk playlist dan juga lagunya itu2 aja, padahal di playlist saya ada lagu yg lain banyak,saat lagi mendengarkan lagu tiba"" Iklan terus ganti lagu lain padahal belum selesai lagunya,banyak bug,mendengarkan lagunya terbatas,lagu di playlis juga ilang anehh",1
enak lagu nya dan gratis,4
bagus,5
sangat baik,5
"kalau sudah masuk di satu device,, mau login lagi di devive lain dengan akun gmail yang sama syuliiitttt sekali,,,, notif masuk di gmail gak muncul2 pdhal sudah terikirim tautan ke gmail,, tapi di gmailnya tidak muncul,,,",1
sumpah keren banget APILIKASI ini yang gak download rugi APILIKASI ini musik nya 2 ribu labih musik nya aku beri bintang 5 🤗🤗🤭,5
"loading nya lamaaa banget padahal sinyal bagus dan kuota masih banyak. pernah juga lagunya stuck ga bisa diputer padahal buka app lain lancar lancar aja :( tambahan, kadang lagu yang diputar di playlist mode shuffle artisnya selalu sama.",3
nemenin bngt pokonyaa,5
Ok,5
sangatt puas dan baguss,5
"kadang pas diputer pas main game, bikin ngehang",3
oke banget saya suka,5
the best lahh,5
5 bintang sudah mewakili kualitas,5
Mantap,5
Mantap asyek bs dengerin byk lagu pilihan,5
temen jalan,5
asik,5
ntatapp,5
bagus bangettt,5
untuk sejauh pemakaian masih dan tetap bagus,5
ok,4
"apk nya bagus keren, tapi minimal kurangi lah harga premium nya,dommpetku menangis mahal 😭 banget.Terus lirik nya di kasih semua kek,jangn sebagaian lagu doang yang ad lirik nya,pengin ikut nyanyi nggaada liriknya jadi susah.Terus (optimalin lah performa saat main gem setiap login pasti mati,)",5
☺☺☺keren ini aplikasinya,5
tiba2 keluar sendiri,1
bagus,5
nggak enak yah kalo nggak premium😌,3
sangat baik s mua sholawat dan musik ada disini,5
bagus semangat,5
sangat bagus,5
maksa banget nyuruh premiumnya tolol,5
Keren lagunya lengkap tapi ketika ingin mutar playlist sendiri malah muter lagu random tolong diperhatikan,5
cocok banget untuk dengar lagu atau sholawat yang kita suka,5
"Sekarang ga bisa putar lagu, gak tahu kenapa. udah dihapus datanya juga gabisa. download ulang juga tetep sama. padahal sinyal lancar aja, buka aplikasi lain yg notabene lebih nguras data malah lancar. tolong segera diperbaiki!!!",1
Pas Lantunan irama,5
Love bgt smaa spotify selalu nemenin hari2 aku dengan pilihan lagu yang banyak bikin semangat dengerin musik d spotify,5
bagus tapi kikir,3
ok,5
mntap,5
bagus bgtt lagu'nya bikin kita bisa dengerin lagu sampai kapan pun tapi sering ada iklann,5
fitur untuk yg tidak premium sangat terbatas,1
bagus d cocok👍,5
cocok banget untuk dengerin lagu dan seru banget kalau ngirim ini sama lagunya banyak banget yang seru-seru,5
Update trus...kalo ga update lagunya ke next sendri,2
mantap,5
bagus,5
sangat bagus,5
"Menurutku udah bagus bgt lagu yg di cari semua ada,lagu kekinian juga ada cepet bgt rilis nya,sambil bermain di aplikasi lain juga bisa jadi main game sambil denger laguu,tapi sayang nya jgn maksa bgt untuk pake premium.dulu premium nya ga maksa bgt kaya kita search trs kita pilih masi bisa,sekarang kalau search lagu gabisa haru premium(kadang bisa kadang ga bisa)",4
mantap,5
bagusss bangetttt tapiii kasih lah Spotify premium secara gratis 3 hari aja😁 pengen cobain fitur kalo fiturnya baguss Dann musiknya bertambah banyakk kamiii beliii,5
sangat bagus,5
Apalah apk lagunya ketinggalan jaman anjj,1
apl Mya bagus bangett coyyy,5
good,5
kok Spotify gue kosong pdhl udah premium? knpa ?? gk bisa puter lagu??,2
DIKIT DIKIT PREMIUM,1
lagunya baru terus😊,5
good,5
bags sekalai,5
mantap,5
udah kecewa bgt sama Spotify nih... lagi asik² setel musik tiba² mati²n trs... mending di hapus aja lah aplikasi'y👎,1
🥰🥰🥰🥰,5
"sangat mengecewakan, setelah saya update malah semakin buruk, lirik tidak ada, memutar lagu juga dibatasi,semua jadi serba premium setelah saya update. Padahal sebelum nya masalah cuman ada pada lirik nya, sekarang malah tambah banyak. Kecewa karena udah update ini aplikasi",2
biasa aja,3
sukaaaa,5
dikit dikit harus premium,1
tibanya langganan malah gabisa di akses apasihhh,3
"terimakaaih spotify, pelayanan nyaa sangatt baik dan bagus",5
sangat elok,5
Bagus,5
bagus 👍,5
"kenapa punya aku gak bisa lihat lirik lagu nya ya,apa harus premium dulu, tolong bantuannya 🙏",4
"tidak ada fitur untuk ""melaporkan lagu"" karena ada lagu yang sangat menyinggung",1
👍,5
bagus dan lagu nya banyak,5
nice banget musik untuk bermain game,5
bikin makin semangat main game kalo denger lagu mantappppp,5
"makin pelit. sekarang pengguna gratis di kasih limit, seakan akan di paksa buat beli premium",3
bagus,5
seru,5
saya sangat suka dan bisa menghibur,5
"SPOTIFY KENAPA SIH? MAU LOGIN GABISA MULU, sering banget kaya gini. enak sih enak dipake, lagunya komplit cuma SUSAH BANGET MAU LOGIN KALO UDAH GANTI DEVICE",3
apk tidak lemot,5
bagus suaranya,5
premium terlalu mahal,4
GAK BISA PAYMENT PREMIUM,1
lagunya original dan lengkap,5
kece,5
aplikasi nya bagus tapi sayangnya kebanyakan premium sama iklannya,5
aplikasi ini sangat enak untuk di gunakan karena bisa gratis,5
"GASUKA ANJIR, APA APAAN MASA BUAT DENGERIN MUSIK SEGALA SEMUANYA HARUS BAYAR?! MENCET 1 LAGU ABIS ITU LANGSUNG DI ACAKIN LAGI GA KAYA DULU LAGI GA SUKA AH",1
bagus banget untuk penyuka musik 👍🏻,5
apli kasi ini sangat bagus,5
bagus banget,5
bagus sekali😍😍😍😁,5
terlalu banyak iklan sampek bosen,3
keren tapi bnyak iklan nya,5
tapi jangan bikin spotify premium,5
"Ini aplikasi real! bagus bgt! cocok buat kalian(kita) yg suka dengerin musik semua lagu juga ada! tapi aku mau kasih saran untuk... 1) Kalo lagu nya bahasa asing contoh nya Jepang, lirik nya jangan di buat bahasa Jepang semua 😅 jadi aku ga tau lirik nya apa, jadi saran ku kasih tulisan alphabet juga jadi bisa tahu cara baca nya 🗿 oke itu aja 👌🏻moga saran ku di baca ya 👌🏻dan kalian ayo cepetan download deh😆 bagus bgt soalnya😆",5
lagu nya menarikk,5
👍,5
mantap sekali,5
👍👍👍,5
apk yang membuat saya mengingat kejadian masa lalu,5
"Maaf kepada pihak spotify,Mungkin Anda Harus meningkatkan pengalaman pemakai dengan cara memperbaiki salah satu bug yg meresahkan,yaitu auto skip lagu,Entah kenapa pada saat saya ingin mendengarkan lagu,tiba tiba lagu yg ingin saya dengarkan ter skip terus menerus(Tidak hanya satu lagu,namun berulang terus menerus) Saya akan merasa sangat terbantu jika bug tersebut di fix,terimakasih",3
bagus sih tapi musik² nya kurang update,5
keren bisa nemenin buat tidur mandi dan belajar dll dah bagus banget,5
thank,5
bagus lagunya juga asik,4
"aplikasi bagus iklannya tidak terlalu banyak dan tidak mengganggu,aplikasinya enak banget buat dengerin music",5
lagu 😎😎😎😎,5
"tolong kembalikan uang saya 58 ribu,saya bayar tetapi premium nya tidak masuk juga 😡",1
bagus didengar saat galau T _ T,5
💖,5
wow absolutely speechles,5
kok harus dijelahi dulu yaa,2
mantap 👊,5
good,5
MASA ADA LAGU GAK ADA LIRIKNYA? tolong deh,4
bagus bagus bagus bagus bagus......,5
bagus,5
lumayan untuk musik.eh ini kan aplikasi musik ya ehem salah .seru baget main game sambil ngelafu😁😁😁😁,5
the best,5
lagu lagu disini bagus tapi harus pro 🗿,4
bagus tapi waktu aku nonton youtube suka ada kayak gini jadi aku kasih bintang 1 alias jelekk,1
😘,4
udah beli premium masih aja suka ngeplay lagu diluar playlist. Big L,1
good aplication,5
Bagus,4
